CustomerID,First Name,Last Name,Age,Gender,Address,City,ContactNumber,Email,AccountType,AccountBalance,DateOfAccountOpening,LastTransactionDate,TransactionID,TransactionDate,TransactionType,TransactionAmount,AccountBalanceAfterTransaction,BranchID,LoanID,LoanAmount,LoanType,InterestRate,LoanTerm,Approval/Rejection Date,LoanStatus,Loan Payment History,CardID,CardType,CreditLimit,CreditCardBalance,MinimumPaymentDue,PaymentDueDate,LastCreditCardPaymentDate,CreditCardPaymentHistory,Rewards Points,FeedbackID,FeedbackDate,Feedback Type,FeedbackText,Resolution Status,ResolutionDate
11,William,Perez,28,Male,Address_11,San Diego,1.23457E+12,william.perez@example.com,Savings,5930.75,8/12/2015,10/18/2023,11,6/8/2023,Withdrawal,1309.13,7239.88,72,11,22592.01,Personal,8.28,60,11/20/2022,Rejected,PaymentHistory_11,11,Visa,4782.39,4564.25,228.21,6/7/2023,3/3/2023,CreditPaymentHistory_11,4624,11,5/1/2023,Complaint,FeedbackText_11,Pending,9/19/2023
12,Nancy,Allen,37,Female,Address_12,Oklahoma City,1.23457E+12,nancy.allen@example.com,Current,8126.85,9/13/2005,10/16/2023,12,4/4/2023,Deposit,4865.91,12992.76,25,12,9182.1,Auto,5.73,48,7/29/2020,Approved,PaymentHistory_12,12,AMEX,5697.31,4935.07,246.75,11/17/2023,12/28/2023,CreditPaymentHistory_12,3488,12,8/24/2023,Complaint,FeedbackText_12,Pending,5/3/2023
13,Margaret,Robinson,63,Female,Address_13,Columbus,1.23457E+12,margaret.robinson@example.com,Savings,5402.04,11/13/2010,11/21/2023,13,12/2/2023,Deposit,3070.58,8472.62,94,13,45385.59,Auto,6.96,36,9/20/2021,Approved,PaymentHistory_13,13,Visa,5776.68,339.59,16.98,7/17/2023,1/13/2023,CreditPaymentHistory_13,2102,13,2/22/2023,Praise,FeedbackText_13,Resolved,1/13/2023
14,Michelle,Taylor,48,Female,Address_14,Colorado Springs,1.23457E+12,michelle.taylor@example.com,Savings,4045.09,8/14/2014,12/29/2023,14,10/27/2023,Transfer,381.21,4426.3,30,14,32735.99,Auto,7.71,48,12/21/2022,Approved,PaymentHistory_14,14,Visa,3018.46,4357.95,217.9,5/28/2023,9/29/2023,CreditPaymentHistory_14,4833,14,11/16/2023,Praise,FeedbackText_14,Resolved,5/5/2023
15,Nancy,Nelson,51,Other,Address_15,Atlanta,1.23457E+12,nancy.nelson@example.com,Savings,2082.67,9/16/2015,6/24/2023,15,6/13/2023,Withdrawal,2631.77,-549.1,77,15,9833.19,Mortgage,3.7,36,12/6/2022,Closed,PaymentHistory_15,15,AMEX,2345.93,1066.61,53.33,12/28/2023,5/23/2023,CreditPaymentHistory_15,4769,15,10/26/2023,Suggestion,FeedbackText_15,Pending,9/23/2023
16,Michael,Young,29,Male,Address_16,Fresno,1.23457E+12,michael.young@example.com,Savings,8578.44,10/2/2016,12/20/2023,16,10/23/2023,Transfer,4486.73,13065.17,31,16,28429.81,Mortgage,3.68,24,12/11/2021,Approved,PaymentHistory_16,16,Visa,2673.1,770.74,38.54,2/2/2023,1/3/2023,CreditPaymentHistory_16,7000,16,11/25/2023,Complaint,FeedbackText_16,Pending,5/23/2023
17,Lisa,Adams,65,Female,Address_17,Austin,1.23457E+12,lisa.adams@example.com,Current,728.8,7/7/2006,12/18/2023,17,11/15/2023,Transfer,2086.75,2815.55,96,17,17080.03,Auto,3.38,36,12/15/2022,Rejected,PaymentHistory_17,17,AMEX,2838.82,3905.1,195.26,4/20/2023,10/19/2023,CreditPaymentHistory_17,2437,17,5/31/2023,Suggestion,FeedbackText_17,Pending,5/1/2023
18,Mary,Wilson,45,Female,Address_18,Omaha,1.23457E+12,mary.wilson@example.com,Savings,9012.31,8/12/2019,3/30/2023,18,9/12/2023,Deposit,3333.99,5678.32,36,18,8211.92,Auto,2.51,12,2/23/2022,Closed,PaymentHistory_18,18,MasterCard,8388.99,3165.21,158.26,8/10/2023,11/12/2023,CreditPaymentHistory_18,5109,18,2/23/2023,Praise,FeedbackText_18,Resolved,6/3/2023
19,Nancy,Martinez,20,Other,Address_19,Tucson,1.23457E+12,nancy.martinez@example.com,Current,2129.63,8/18/2005,2/28/2023,19,11/15/2023,Withdrawal,3868.23,-1738.6,41,19,9911.6,Personal,3.74,12,6/5/2022,Rejected,PaymentHistory_19,19,AMEX,9371.27,299.03,14.95,5/12/2023,9/10/2023,CreditPaymentHistory_19,8681,19,7/19/2023,Praise,FeedbackText_19,Resolved,3/7/2023
20,Amanda,Campbell,65,Other,Address_20,Milwaukee,1.23457E+12,amanda.campbell@example.com,Savings,194.36,4/24/2017,3/2/2023,20,9/30/2023,Deposit,933.29,-738.93,61,20,28403.6,Mortgage,9.58,48,1/27/2021,Closed,PaymentHistory_20,20,MasterCard,7650.68,1076.46,53.82,5/24/2023,1/21/2023,CreditPaymentHistory_20,3441,20,4/22/2023,Praise,FeedbackText_20,Pending,10/4/2023
21,Ashley,Scott,59,Other,Address_21,Fresno,1.23457E+12,ashley.scott@example.com,Savings,1128.58,10/29/2016,8/30/2023,21,2/7/2023,Withdrawal,4278.95,-3150.37,29,21,28654.88,Personal,1.77,12,7/26/2020,Closed,PaymentHistory_21,21,MasterCard,1374.25,3559.98,178,1/31/2023,8/31/2023,CreditPaymentHistory_21,1213,21,11/20/2023,Complaint,FeedbackText_21,Pending,9/7/2023
22,Donna,King,69,Female,Address_22,San Antonio,1.23457E+12,donna.king@example.com,Current,8846.74,1/1/2005,10/10/2023,22,7/1/2023,Transfer,2249.62,11096.36,34,22,39707.1,Personal,3.17,48,10/28/2021,Rejected,PaymentHistory_22,22,MasterCard,6394.78,53.5,2.68,9/23/2023,12/5/2023,CreditPaymentHistory_22,4035,22,8/7/2023,Complaint,FeedbackText_22,Pending,12/10/2023
23,Mary,Rodriguez,22,Other,Address_23,El Paso,1.23457E+12,mary.rodriguez@example.com,Savings,829.7,9/2/2011,8/13/2023,23,7/6/2023,Deposit,292.88,536.82,19,23,13151.23,Mortgage,3.86,60,2/20/2022,Closed,PaymentHistory_23,23,Visa,8026.74,1424.94,71.25,11/17/2023,3/17/2023,CreditPaymentHistory_23,1533,23,2/20/2023,Complaint,FeedbackText_23,Resolved,10/4/2023
24,Charles,Adams,30,Female,Address_24,San Antonio,1.23457E+12,charles.adams@example.com,Savings,3616.88,10/7/2014,8/10/2023,24,1/25/2023,Deposit,4395.73,8012.61,90,24,45875.84,Personal,2.38,60,3/7/2022,Rejected,PaymentHistory_24,24,AMEX,5693.7,2256.35,112.82,5/7/2023,6/3/2023,CreditPaymentHistory_24,6245,24,10/4/2023,Suggestion,FeedbackText_24,Resolved,12/10/2023
25,Steven,Ramirez,29,Male,Address_25,Boston,1.23457E+12,steven.ramirez@example.com,Savings,2578.13,6/4/2004,3/31/2023,25,11/29/2023,Transfer,2826.12,5404.25,5,25,26412.03,Mortgage,1.7,48,5/18/2020,Rejected,PaymentHistory_25,25,AMEX,1720.05,4563.01,228.15,5/29/2023,11/18/2023,CreditPaymentHistory_25,6588,25,1/22/2023,Praise,FeedbackText_25,Resolved,3/1/2023
26,Barbara,Hernandez,18,Female,Address_26,Chicago,1.23457E+12,barbara.hernandez@example.com,Current,464.86,10/1/2022,1/15/2023,26,5/22/2023,Transfer,999.63,1464.49,20,26,11004.46,Personal,2.46,48,11/3/2022,Approved,PaymentHistory_26,26,Visa,5608.25,4251.87,212.59,6/5/2023,11/8/2023,CreditPaymentHistory_26,5749,26,2/17/2023,Complaint,FeedbackText_26,Pending,4/14/2023
27,Lisa,Wilson,69,Male,Address_27,Kansas City,1.23457E+12,lisa.wilson@example.com,Savings,5361.52,7/27/2006,12/31/2023,27,5/4/2023,Withdrawal,1594.08,3767.44,78,27,21250.75,Personal,5.75,48,4/19/2021,Approved,PaymentHistory_27,27,AMEX,6736.21,1084.56,54.23,1/21/2023,7/4/2023,CreditPaymentHistory_27,1470,27,12/15/2023,Suggestion,FeedbackText_27,Pending,8/20/2023
28,Amanda,Hill,60,Female,Address_28,Oklahoma City,1.23457E+12,amanda.hill@example.com,Savings,9983.5,8/10/2018,7/4/2023,28,1/25/2023,Deposit,2851.17,12834.67,29,28,46244.6,Mortgage,6.37,36,10/23/2022,Approved,PaymentHistory_28,28,AMEX,6126.15,1530.42,76.52,11/16/2023,7/31/2023,CreditPaymentHistory_28,2965,28,12/21/2023,Complaint,FeedbackText_28,Pending,2/23/2023
29,Matthew,Campbell,36,Male,Address_29,Fresno,1.23457E+12,matthew.campbell@example.com,Savings,8544.77,11/12/2000,7/23/2023,29,10/18/2023,Transfer,1877.13,6667.64,3,29,24429.67,Auto,2.94,12,2/20/2022,Rejected,PaymentHistory_29,29,AMEX,7494.66,2591.92,129.6,9/20/2023,6/6/2023,CreditPaymentHistory_29,2963,29,1/23/2023,Suggestion,FeedbackText_29,Pending,6/10/2023
30,Ronald,Jackson,46,Female,Address_30,Baltimore,1.23457E+12,ronald.jackson@example.com,Current,1772.04,2/12/2015,2/10/2023,30,12/1/2023,Withdrawal,1174.58,597.46,84,30,43861.04,Auto,5.53,36,2/23/2022,Closed,PaymentHistory_30,30,Visa,3404.77,2181.1,109.06,2/18/2023,12/14/2023,CreditPaymentHistory_30,8656,30,1/6/2023,Suggestion,FeedbackText_30,Resolved,9/12/2023
31,Anthony,Anderson,64,Female,Address_31,San Francisco,1.23457E+12,anthony.anderson@example.com,Current,8854.73,9/15/2004,6/20/2023,31,6/24/2023,Withdrawal,2401.76,11256.49,25,31,8831.8,Auto,1.06,36,12/21/2021,Approved,PaymentHistory_31,31,AMEX,7278.03,3846.45,192.32,5/27/2023,6/11/2023,CreditPaymentHistory_31,3298,31,5/12/2023,Praise,FeedbackText_31,Pending,6/5/2023
32,Carol,Ramirez,67,Female,Address_32,Jacksonville,1.23457E+12,carol.ramirez@example.com,Current,4572.76,5/4/2010,9/25/2023,32,8/20/2023,Transfer,933.38,5506.14,69,32,45783.96,Auto,6.42,36,5/15/2022,Closed,PaymentHistory_32,32,Visa,3997.31,4756.24,237.81,1/3/2023,2/27/2023,CreditPaymentHistory_32,6208,32,8/16/2023,Praise,FeedbackText_32,Resolved,8/25/2023
33,Betty,White,65,Female,Address_33,Sacramento,1.23457E+12,betty.white@example.com,Current,2805.18,7/30/2003,7/15/2023,33,5/25/2023,Deposit,1234.44,1570.74,55,33,22100.32,Mortgage,1.01,60,8/21/2021,Closed,PaymentHistory_33,33,MasterCard,7417.07,3107.77,155.39,3/27/2023,10/22/2023,CreditPaymentHistory_33,2387,33,5/9/2023,Complaint,FeedbackText_33,Resolved,7/25/2023
34,Jessica,Davis,56,Other,Address_34,Oklahoma City,1.23457E+12,jessica.davis@example.com,Savings,6439.03,8/23/2005,9/7/2023,34,12/11/2023,Transfer,4135.4,10574.43,56,34,46870.22,Personal,6.78,60,9/2/2020,Rejected,PaymentHistory_34,34,Visa,5395.87,560.7,28.04,9/23/2023,5/11/2023,CreditPaymentHistory_34,4561,34,7/22/2023,Complaint,FeedbackText_34,Resolved,2/11/2023
35,Joseph,Nelson,59,Female,Address_35,Seattle,1.23457E+12,joseph.nelson@example.com,Current,2245.28,1/5/2002,7/14/2023,35,1/23/2023,Transfer,1150.42,3395.7,29,35,43437.85,Mortgage,5.35,36,3/10/2022,Closed,PaymentHistory_35,35,AMEX,8046.16,2208.16,110.41,7/30/2023,9/4/2023,CreditPaymentHistory_35,2971,35,6/26/2023,Praise,FeedbackText_35,Resolved,1/29/2023
36,Timothy,Rodriguez,42,Female,Address_36,Portland,1.23457E+12,timothy.rodriguez@example.com,Current,8808.55,7/8/2009,8/18/2023,36,8/12/2023,Withdrawal,3479.88,12288.43,41,36,33338.35,Mortgage,1.98,24,2/10/2021,Rejected,PaymentHistory_36,36,Visa,5522.52,2735.81,136.79,5/31/2023,10/18/2023,CreditPaymentHistory_36,6543,36,1/17/2023,Complaint,FeedbackText_36,Pending,11/14/2023
37,Amanda,Campbell,33,Other,Address_37,Mesa,1.23457E+12,amanda.campbell@example.com,Current,6279.42,7/28/2008,4/6/2023,37,5/2/2023,Withdrawal,1259.84,5019.58,2,37,33969.47,Mortgage,1.8,36,7/25/2022,Rejected,PaymentHistory_37,37,MasterCard,3589.1,4775.86,238.79,3/9/2023,3/13/2023,CreditPaymentHistory_37,443,37,10/31/2023,Suggestion,FeedbackText_37,Resolved,1/3/2023
38,Michael,Allen,34,Other,Address_38,El Paso,1.23457E+12,michael.allen@example.com,Current,1446.62,5/16/2002,8/6/2023,38,8/11/2023,Withdrawal,1069.87,2516.49,6,38,11363.89,Personal,1.06,24,4/8/2021,Rejected,PaymentHistory_38,38,AMEX,9908.09,1725.59,86.28,7/30/2023,12/10/2023,CreditPaymentHistory_38,440,38,2/26/2023,Praise,FeedbackText_38,Resolved,6/3/2023
39,Paul,Allen,45,Other,Address_39,Albuquerque,1.23457E+12,paul.allen@example.com,Savings,5749.42,7/20/2008,1/4/2023,39,8/18/2023,Transfer,1263.27,4486.15,59,39,30538.66,Auto,5.96,24,10/25/2020,Rejected,PaymentHistory_39,39,AMEX,3179.12,3347.7,167.38,2/20/2023,1/30/2023,CreditPaymentHistory_39,9290,39,11/28/2023,Praise,FeedbackText_39,Resolved,1/24/2023
40,John,Jackson,56,Other,Address_40,Jacksonville,1.23457E+12,john.jackson@example.com,Savings,5152.67,1/13/2020,1/5/2023,40,1/17/2023,Withdrawal,2346.81,2805.86,65,40,27925.28,Mortgage,8.26,12,12/16/2022,Rejected,PaymentHistory_40,40,MasterCard,4623.6,56.38,2.82,5/28/2023,3/21/2023,CreditPaymentHistory_40,526,40,4/29/2023,Praise,FeedbackText_40,Resolved,1/14/2023
41,Charles,Williams,60,Other,Address_41,Austin,1.23457E+12,charles.williams@example.com,Current,4767.41,8/13/2018,2/15/2023,41,10/12/2023,Transfer,739.94,4027.47,31,41,17373.2,Mortgage,8.71,48,11/4/2021,Rejected,PaymentHistory_41,41,Visa,7976.79,2183.5,109.18,2/24/2023,11/24/2023,CreditPaymentHistory_41,1841,41,5/30/2023,Complaint,FeedbackText_41,Pending,3/16/2023
42,David,Martinez,66,Other,Address_42,Kansas City,1.23457E+12,david.martinez@example.com,Current,3713.26,10/29/2015,11/27/2023,42,1/2/2023,Transfer,542,3171.26,91,42,25775.45,Personal,6.12,36,10/13/2022,Closed,PaymentHistory_42,42,MasterCard,5660.53,202.41,10.12,1/23/2023,10/20/2023,CreditPaymentHistory_42,6292,42,5/24/2023,Complaint,FeedbackText_42,Pending,3/9/2023
43,Joshua,Flores,22,Other,Address_43,Philadelphia,1.23457E+12,joshua.flores@example.com,Current,4794.63,6/23/2006,5/6/2023,43,9/24/2023,Withdrawal,3786.14,1008.49,46,43,46528.03,Personal,8.98,36,2/20/2020,Approved,PaymentHistory_43,43,AMEX,7147.73,1185.11,59.26,12/12/2023,3/20/2023,CreditPaymentHistory_43,2095,43,5/26/2023,Praise,FeedbackText_43,Resolved,11/19/2023
44,Karen,Campbell,18,Other,Address_44,Fresno,1.23457E+12,karen.campbell@example.com,Current,5901.51,3/21/2010,5/17/2023,44,1/16/2023,Transfer,126.28,5775.23,60,44,1259.98,Mortgage,8.76,36,5/14/2020,Approved,PaymentHistory_44,44,MasterCard,5391.71,2346.46,117.32,8/25/2023,1/9/2023,CreditPaymentHistory_44,2285,44,11/14/2023,Complaint,FeedbackText_44,Resolved,8/18/2023
45,Patricia,Adams,20,Other,Address_45,Mesa,1.23457E+12,patricia.adams@example.com,Savings,7362.34,5/3/2001,5/16/2023,45,12/3/2023,Withdrawal,1933.57,5428.77,46,45,21439.08,Personal,7.28,48,9/26/2022,Approved,PaymentHistory_45,45,AMEX,6494.58,2906.73,145.34,5/22/2023,6/15/2023,CreditPaymentHistory_45,7103,45,12/28/2023,Praise,FeedbackText_45,Resolved,7/6/2023
46,Matthew,Smith,65,Other,Address_46,Atlanta,1.23457E+12,matthew.smith@example.com,Savings,9186.97,6/2/2005,11/10/2023,46,1/21/2023,Transfer,1986.21,7200.76,19,46,17348.3,Mortgage,4.27,24,5/9/2020,Closed,PaymentHistory_46,46,AMEX,5610.23,4383.34,219.17,7/12/2023,6/6/2023,CreditPaymentHistory_46,4173,46,4/12/2023,Praise,FeedbackText_46,Pending,8/31/2023
47,Susan,Lewis,41,Other,Address_47,San Francisco,1.23457E+12,susan.lewis@example.com,Current,539.4,12/11/2005,12/25/2023,47,9/8/2023,Transfer,4466.28,-3926.88,1,47,48100.32,Mortgage,8.44,36,11/5/2021,Closed,PaymentHistory_47,47,MasterCard,9925.21,924.02,46.2,1/19/2023,10/23/2023,CreditPaymentHistory_47,722,47,8/21/2023,Suggestion,FeedbackText_47,Resolved,1/1/2023
48,Stephanie,Roberts,46,Male,Address_48,Omaha,1.23457E+12,stephanie.roberts@example.com,Current,5736.51,6/20/2012,11/15/2023,48,10/4/2023,Withdrawal,3874.71,9611.22,95,48,48720.82,Mortgage,4.53,36,2/17/2020,Rejected,PaymentHistory_48,48,MasterCard,2867.41,1543.14,77.16,1/27/2023,6/23/2023,CreditPaymentHistory_48,5615,48,12/29/2023,Suggestion,FeedbackText_48,Resolved,7/25/2023
49,David,King,32,Female,Address_49,Omaha,1.23457E+12,david.king@example.com,Current,7544.54,1/30/2021,7/8/2023,49,1/6/2023,Transfer,2558.28,10102.82,18,49,29697.37,Personal,4.63,48,4/5/2021,Approved,PaymentHistory_49,49,MasterCard,9023.88,2786.09,139.3,6/4/2023,8/9/2023,CreditPaymentHistory_49,2212,49,2/2/2023,Suggestion,FeedbackText_49,Resolved,3/18/2023
50,Sandra,Gonzalez,21,Female,Address_50,Fort Worth,1.23457E+12,sandra.gonzalez@example.com,Current,1243.99,3/2/2022,5/23/2023,50,10/29/2023,Transfer,2404.27,3648.26,7,50,27950.34,Auto,7.1,60,12/26/2022,Closed,PaymentHistory_50,50,Visa,5180.67,1063.32,53.17,2/11/2023,6/23/2023,CreditPaymentHistory_50,2445,50,10/4/2023,Praise,FeedbackText_50,Resolved,2/4/2023
51,Mary,Smith,61,Other,Address_51,Nashville,1.23457E+12,mary.smith@example.com,Current,9123.83,9/7/2021,3/14/2023,51,8/25/2023,Withdrawal,2832.35,6291.48,32,51,45257.41,Mortgage,9.35,48,3/21/2021,Rejected,PaymentHistory_51,51,AMEX,1226.63,4537.6,226.88,3/29/2023,4/2/2023,CreditPaymentHistory_51,61,51,9/30/2023,Suggestion,FeedbackText_51,Resolved,12/11/2023
52,Sarah,King,18,Other,Address_52,Omaha,1.23457E+12,sarah.king@example.com,Current,2525.4,10/25/2015,6/27/2023,52,1/23/2023,Deposit,1795.56,4320.96,99,52,1320.58,Mortgage,5.5,48,11/25/2021,Approved,PaymentHistory_52,52,AMEX,9801.79,4369.68,218.48,11/29/2023,3/19/2023,CreditPaymentHistory_52,2757,52,6/15/2023,Complaint,FeedbackText_52,Pending,6/22/2023
53,Betty,Lewis,66,Male,Address_53,Denver,1.23457E+12,betty.lewis@example.com,Current,8349.99,6/3/2020,12/16/2023,53,11/10/2023,Withdrawal,3506.88,4843.11,96,53,28551.75,Mortgage,2.59,60,8/23/2020,Rejected,PaymentHistory_53,53,AMEX,8825.31,4434.35,221.72,8/5/2023,3/9/2023,CreditPaymentHistory_53,2042,53,4/14/2023,Praise,FeedbackText_53,Pending,12/7/2023
54,Timothy,Mitchell,32,Other,Address_54,Chicago,1.23457E+12,timothy.mitchell@example.com,Savings,6653.87,5/28/2014,8/14/2023,54,7/4/2023,Deposit,3433.5,3220.37,59,54,2206.99,Mortgage,2.28,12,12/12/2020,Approved,PaymentHistory_54,54,MasterCard,1662.19,3601.42,180.07,11/2/2023,6/16/2023,CreditPaymentHistory_54,4735,54,11/17/2023,Praise,FeedbackText_54,Resolved,2/6/2023
55,John,Campbell,41,Male,Address_55,Seattle,1.23457E+12,john.campbell@example.com,Savings,5639.51,1/24/2013,10/5/2023,55,8/12/2023,Transfer,2877.53,2761.98,65,55,48439.95,Mortgage,3.72,48,6/4/2020,Approved,PaymentHistory_55,55,AMEX,4451.64,4981.24,249.06,8/14/2023,6/29/2023,CreditPaymentHistory_55,8927,55,3/31/2023,Praise,FeedbackText_55,Pending,10/10/2023
56,Amanda,Gonzalez,69,Female,Address_56,Denver,1.23457E+12,amanda.gonzalez@example.com,Savings,8705.5,5/17/2007,8/26/2023,56,2/8/2023,Deposit,297.89,8407.61,97,56,16687.82,Auto,5.12,48,12/25/2022,Approved,PaymentHistory_56,56,MasterCard,8771.57,4130.99,206.55,4/8/2023,6/11/2023,CreditPaymentHistory_56,8261,56,3/3/2023,Praise,FeedbackText_56,Resolved,10/4/2023
57,Linda,Mitchell,48,Female,Address_57,Philadelphia,1.23457E+12,linda.mitchell@example.com,Current,9695.42,11/30/2022,4/4/2023,57,1/31/2023,Withdrawal,642.92,10338.34,12,57,26519.26,Mortgage,3.68,36,2/17/2020,Closed,PaymentHistory_57,57,MasterCard,5559.78,2479.94,124,7/5/2023,1/17/2023,CreditPaymentHistory_57,2928,57,11/12/2023,Suggestion,FeedbackText_57,Pending,2/27/2023
58,Timothy,Carter,37,Other,Address_58,Indianapolis,1.23457E+12,timothy.carter@example.com,Savings,9971.6,2/16/2021,11/26/2023,58,1/2/2023,Transfer,205.99,9765.61,45,58,21460.86,Personal,7.41,24,2/23/2021,Rejected,PaymentHistory_58,58,Visa,9315.29,3693.78,184.69,11/28/2023,4/26/2023,CreditPaymentHistory_58,5456,58,4/21/2023,Suggestion,FeedbackText_58,Pending,12/4/2023
59,Andrew,Lewis,27,Male,Address_59,San Diego,1.23457E+12,andrew.lewis@example.com,Current,6864.48,9/5/2012,7/16/2023,59,12/8/2023,Deposit,3595.39,3269.09,24,59,44787.58,Auto,5.88,24,9/28/2022,Rejected,PaymentHistory_59,59,AMEX,6365.93,479.28,23.96,6/14/2023,7/24/2023,CreditPaymentHistory_59,3616,59,3/4/2023,Praise,FeedbackText_59,Resolved,5/5/2023
60,Susan,Hill,28,Male,Address_60,Seattle,1.23457E+12,susan.hill@example.com,Current,3457.4,8/22/2004,3/5/2023,60,6/14/2023,Withdrawal,2393.22,1064.18,54,60,49991.08,Mortgage,4.66,48,3/29/2021,Closed,PaymentHistory_60,60,Visa,8287.3,4590.25,229.51,11/28/2023,7/9/2023,CreditPaymentHistory_60,9195,60,4/8/2023,Praise,FeedbackText_60,Resolved,12/16/2023
61,Thomas,White,35,Female,Address_61,Colorado Springs,1.23457E+12,thomas.white@example.com,Current,8759.52,1/6/2009,5/30/2023,61,10/27/2023,Deposit,4775.36,13534.88,4,61,4351.01,Auto,2.92,24,10/7/2022,Approved,PaymentHistory_61,61,MasterCard,5051.49,4920.85,246.04,5/30/2023,11/30/2023,CreditPaymentHistory_61,4132,61,10/11/2023,Praise,FeedbackText_61,Resolved,1/2/2023
